model,threshold,roc_auc,average_precision,brier_score,balanced_accuracy,precision,recall,f1,mcc,specificity,tn,fp,fn,tp,max_abs_difference_to_results_csv
NB | standard,0.268334236133203,0.8881208327456658,0.5754797743900784,0.06105034044562823,0.7525001451884545,0.530367231638418,0.5604477611940298,0.5449927431059507,0.4928250890131716,0.9445525291828794,33985,1995,1767,2253,2.7755575615628914e-17
NB | EDA-adapted,0.2661445105839424,0.8879055666636245,0.5734418491740633,0.06119380951200895,0.7531498289541729,0.5311691366737238,0.5616915422885572,0.546004110748398,0.49393947815869343,0.9446081156197887,33987,1993,1762,2258,5.551115123125783e-17
ANN | small,0.2555281221866607,0.8463792004402668,0.466581517648341,0.06969529987359396,0.7121476414481235,0.44106548279689234,0.4942786069651741,0.466158357771261,0.403534640492586,0.9300166759310728,33462,2518,2033,1987,6.938893903907228e-17
ANN | EDA-adapted,0.7340458035469055,0.8607811207995598,0.5030109102543603,0.15045085426482416,0.7361791653184881,0.4344935471255377,0.5527363184079602,0.486533829647471,0.4253135656790789,0.9196220122290161,33088,2892,1798,2222,1.1102230246251565e-16
